area_sqft,bedrooms,age,distance_city_km,price
4898,5,53,32.09,837838.0
2754,2,4,34.73,440720.0
3945,2,93,27.18,532312.0
1104,5,93,12.66,251900.0
3031,4,56,17.35,537036.0
3073,2,16,9.16,550578.0
1870,4,46,45.43,337271.0
2990,2,22,29.21,467510.0
4140,2,78,20.1,585190.0
1328,3,84,23.15,203352.0
802,2,13,47.37,108915.0
4793,1,65,7.75,699822.0
1170,5,74,29.35,270097.0
4788,5,50,25.34,845294.0
506,4,37,30.61,137380.0
1784,2,63,1.0,315628.0
1163,1,97,43.62,4317.0
3090,4,37,46.61,541311.0
863,3,49,28.3,127267.0
4491,4,97,34.86,674333.0
2057,4,81,46.13,281824.0
1978,2,29,35.39,297686.0
3542,3,78,7.71,567347.0
4936,4,90,28.86,817692.0
1359,1,50,30.38,148883.0
2022,1,62,21.26,211515.0
3614,5,97,36.85,624520.0
3457,3,51,46.72,517234.0
2925,3,37,46.29,442305.0
3029,5,96,22.6,517936.0
1897,4,87,5.75,362533.0
3360,3,78,49.24,455869.0
2993,1,29,41.96,
3927,1,50,6.32,581439.0
1663,2,80,46.05,118765.0
2281,3,4,43.51,386971.0
1963,4,28,25.99,405479.0
1829,5,3,29.6,451813.0
2338,5,9,20.01,524626.0
3602,4,55,2.83,698329.0
2537,2,16,16.83,434274.0
1606,5,73,40.16,315144.0
4329,3,16,0.33,786051.0
2975,,83,16.74,407534.0
1582,3,87,19.97,236834.0
1009,1,68,26.92,47435.0
4713,2,33,46.0,677635.0
4048,5,5,17.38,851836.0
963,2,52,17.41,118771.0
2298,2,65,36.9,294559.0
3745,2,76,22.67,551162.0
4043,2,42,11.31,678277.0
1795,3,74,22.68,271274.0
3604,1,22,7.13,550845.0
4063,4,54,8.9,766617.0
2153,2,79,24.97,259931.0
4959,5,94,21.0,833956.0
1591,2,74,45.75,144118.0
3881,5,15,18.18,772654.0
3757,3,7,29.07,627095.0
1936,5,3,31.65,466495.0
3996,4,3,0.75,817818.0
3299,1,55,33.21,418766.0
3452,5,24,8.98,728483.0
998,5,66,48.06,190131.0
2460,1,95,7.52,331419.0
4397,4,66,20.79,755258.0
1154,2,26,4.36,
3774,5,92,49.84,617380.0
2007,1,31,25.16,276620.0
3077,3,49,29.81,521770.0
2033,1,60,3.45,284935.0
3810,3,50,37.52,585357.0
502,4,18,10.57,229349.0
3555,2,20,44.91,527925.0
4518,1,4,10.34,711724.0
4796,5,81,9.62,856262.0
1066,4,91,1.92,263768.0
4689,1,41,23.66,680785.0
2627,5,60,28.29,481750.0
3231,1,21,3.38,530193.0
497,3,20,38.8,106714.0
2230,1,69,22.72,275201.0
3882,1,0,26.27,572273.0
908,1,4,22.09,159707.0
3572,4,11,20.1,703098.0
1447,1,89,28.03,111543.0
4582,5,45,7.85,886618.0
3697,3,33,9.18,671543.0
2811,3,48,43.1,390216.0
2094,1,77,47.31,198172.0
959,4,89,18.73,206453.0
3111,4,44,13.61,601905.0
1669,5,26,32.24,379997.0
2286,,72,20.5,277746.0
446,,25,1.37,157496.0
3519,4,46,7.89,686395.0
3211,1,85,35.83,361447.0
2034,4,55,32.98,341889.0
2143,,93,1.45,432497.0
788,3,62,11.18,185709.0
3276,2,47,11.63,547673.0
2259,5,60,33.63,416299.0
2685,5,80,1.08,564097.0
3219,3,25,5.3,618634.0
2102,4,35,40.02,380602.0
4361,1,0,9.01,724392.0
3669,4,7,32.67,658558.0
562,3,98,11.99,87387.0
923,5,51,5.06,318806.0
1316,4,78,12.23,287802.0
3943,5,46,36.14,697650.0
2349,1,55,42.8,245216.0
4023,5,85,41.53,676368.0
4848,5,13,19.92,960834.0
3408,2,89,33.44,429079.0
4390,2,27,10.33,757172.0
2356,2,86,14.73,312811.0
3470,5,77,44.83,
1982,3,87,0.75,324090.0
2555,5,1,4.37,598889.0
1454,,25,10.47,282191.0
4799,3,13,1.42,905578.0
3491,2,58,9.15,572685.0
1996,4,55,29.19,341747.0
4291,1,6,21.13,659832.0
4982,2,2,44.64,773568.0
1948,2,22,40.89,269227.0
1745,4,17,17.16,408774.0
4499,1,37,13.05,665472.0
4223,5,98,19.05,724305.0
553,5,14,29.56,218205.0
3483,2,63,13.48,534665.0
2857,1,88,31.25,344859.0
398,2,27,20.53,87274.0
2500,3,73,27.65,372853.0
3261,2,38,21.86,510341.0
4733,2,56,14.79,721011.0
4077,5,16,47.43,763573.0
3169,5,85,38.2,511827.0
3534,5,89,7.09,669575.0
4091,3,43,43.44,609582.0
1256,5,24,24.42,365830.0
4367,1,16,44.74,620113.0
460,4,12,40.01,143876.0
,1,83,21.32,646744.0
1600,1,24,1.22,283791.0
4287,5,67,13.51,784419.0
1827,4,9,27.13,381719.0
1518,4,66,31.71,280412.0
4796,4,17,12.97,888409.0
3404,3,99,7.05,556857.0
3035,5,85,41.76,532531.0
4855,4,33,49.22,796434.0
1254,3,7,26.33,249017.0
4865,2,39,8.67,807709.0
3746,2,82,13.69,550000.0
1345,3,41,1.02,294381.0
1993,3,40,45.72,290421.0
3736,5,5,5.98,801002.0
862,5,51,28.87,246087.0
2785,2,25,13.78,483670.0
3654,4,63,27.75,648427.0
525,2,97,32.61,-3819.0
1259,4,58,41.5,193675.0
4848,4,55,10.4,859239.0
3367,5,58,0.65,702554.0
1115,1,69,6.93,127017.0
4942,1,32,45.01,658928.0
3420,3,52,43.71,495188.0
316,5,21,29.91,167339.0
1543,4,20,30.07,301677.0
2505,1,69,33.29,255070.0
2824,4,69,8.85,543596.0
1369,1,3,45.73,157988.0
3744,1,93,21.0,479065.0
2865,1,74,19.22,377546.0
1360,5,61,25.99,284328.0
2627,2,61,2.44,404040.0
3720,4,93,8.4,654355.0
601,5,94,36.93,106455.0
4576,5,23,4.23,910437.0
906,5,54,30.2,245308.0
3470,5,8,12.34,747751.0
999,5,2,19.53,313131.0
1439,3,30,14.51,310292.0
490,4,39,17.85,186444.0
2600,5,35,35.98,481446.0
1280,4,23,14.93,308421.0
3275,3,94,28.36,464429.0
1484,3,5,23.85,278406.0
3627,4,65,33.22,580573.0
3694,1,83,46.85,419876.0
427,2,91,36.66,-66346.99999999999
2365,1,74,10.83,330607.0
,1,3,1.66,372382.0
869,1,78,13.19,61545.0
2195,5,5,29.79,524354.0
3033,3,93,2.67,492700.0
4163,1,50,24.87,566219.0
4314,3,61,29.88,698875.0
3201,4,56,16.78,572633.0
1986,2,65,38.57,205474.0
3309,4,78,5.42,619746.0
454,4,74,3.85,155505.0
2837,5,7,36.44,567508.0
,2,25,24.83,281057.0
4357,,50,34.45,734125.0
1084,4,44,21.8,267896.0
862,5,51,28.87,246087.0
,5,16,39.72,773966.0
4865,2,39,8.67,807709.0
