CustomerID,Region,TransactionsCount,LastVisit,StoreCleanliness,StaffHelpfulness,CheckoutEfficiency
2794,Midwest,5,2023-01-02 22:33:00,Good,Good,Good
557,Northeast,4,2023-01-01 09:16:00,Poor,Average,Average
3614,West,7,2023-01-03 12:13:00,Good,Good,Average
6301,West,4,2023-01-05 09:00:00,Good,Average,Average
9423,South,4,2023-01-07 13:02:00,Good,Good,Good
4839,Northeast,2,2023-01-04 08:38:00,Average,Average,Average
5058,Midwest,1,2023-01-04 12:17:00,Good,Average,Good
4450,South,5,2023-01-04 02:09:00,Average,Good,Good
5036,Midwest,8,2023-01-04 11:55:00,Good,Average,Good
3503,West,7,2023-01-03 10:22:00,Average,Good,Poor
1472,South,3,2023-01-02 00:31:00,Average,Average,Good
367,West,2,2023-01-01 06:06:00,Good,Average,Poor
6679,South,4,2023-01-05 15:18:00,Average,Good,Good
4551,West,11,2023-01-04 03:50:00,Good,Good,Good
6994,Northeast,9,2023-01-05 20:33:00,Average,Average,Average
9130,West,4,2023-01-07 08:09:00,Good,Good,Good
2676,Midwest,3,2023-01-02 20:35:00,Good,Good,Good
2163,Midwest,4,2023-01-02 12:02:00,Average,Average,Good
1827,Northeast,4,2023-01-02 06:26:00,Good,Good,Good
1361,West,10,2023-01-01 22:40:00,Average,Average,Good
977,South,5,2023-01-01 16:16:00,Good,Good,Poor
5178,Northeast,2,2023-01-04 14:17:00,Good,Good,Good
9742,Northeast,4,2023-01-07 18:21:00,Good,Average,Average
8444,Midwest,4,2023-01-06 20:43:00,Good,Average,Good
422,West,4,2023-01-01 07:01:00,Average,Average,Good
4345,South,4,2023-01-04 00:24:00,Good,Good,Average
1125,South,6,2023-01-01 18:44:00,Average,Good,Good
4227,Midwest,3,2023-01-03 22:26:00,Good,Average,Average
3624,West,4,2023-01-03 12:23:00,Good,Good,Average
7401,Northeast,8,2023-01-06 03:20:00,Good,Average,Good
1113,Northeast,2,2023-01-01 18:32:00,Average,Average,Average
7570,Northeast,2,2023-01-06 06:09:00,Average,Good,Average
994,South,5,2023-01-01 16:33:00,Average,Poor,Poor
7262,Northeast,5,2023-01-06 01:01:00,Good,Average,Average
7342,Midwest,7,2023-01-06 02:21:00,Average,Average,Good
1053,West,4,2023-01-01 17:32:00,Average,Average,Average
57,Northeast,5,2023-01-01 00:56:00,Good,Average,Average
4255,Northeast,5,2023-01-03 22:54:00,Poor,Average,Average
411,Midwest,6,2023-01-01 06:50:00,Average,Average,Good
4169,Midwest,7,2023-01-03 21:28:00,Average,Good,Average
5233,South,11,2023-01-04 15:12:00,Good,Average,Good
6114,South,5,2023-01-05 05:53:00,Average,Good,Good
2393,Midwest,4,2023-01-02 15:52:00,Average,Good,Average
6425,Midwest,5,2023-01-05 11:04:00,Average,Good,Good
6231,South,2,2023-01-05 07:50:00,Poor,Good,Good
66,South,8,2023-01-01 01:05:00,Good,Good,Poor
8524,Midwest,9,2023-01-06 22:03:00,Average,Good,Good
985,South,5,2023-01-01 16:24:00,Good,Good,Average
2917,South,4,2023-01-03 00:36:00,Average,Poor,Good
5363,South,4,2023-01-04 17:22:00,Poor,Average,Good
2280,Northeast,3,2023-01-02 13:59:00,Average,Good,Poor
7753,Northeast,4,2023-01-06 09:12:00,Average,Poor,Good
592,South,6,2023-01-01 09:51:00,Average,Average,Good
1914,Midwest,2,2023-01-02 07:53:00,Good,Good,Average
5490,West,5,2023-01-04 19:29:00,Average,Good,Good
9453,Northeast,6,2023-01-07 13:32:00,Average,Average,Average
9817,South,4,2023-01-07 19:36:00,Good,Average,Good
9572,Northeast,2,2023-01-07 15:31:00,Average,Good,Average
1452,South,9,2023-01-02 00:11:00,Good,Good,Average
9342,South,8,2023-01-07 11:41:00,Good,Average,Average
5093,West,4,2023-01-04 12:52:00,Average,Average,Average
715,Midwest,3,2023-01-01 11:54:00,Good,Good,Poor
5765,West,4,2023-01-05 00:04:00,Average,Poor,Good
8422,Midwest,4,2023-01-06 20:21:00,Average,Average,Average
9727,West,6,2023-01-07 18:06:00,Good,Average,Good
4098,Northeast,7,2023-01-03 20:17:00,Poor,Average,Good
8518,West,5,2023-01-06 21:57:00,Average,Average,Average
1757,West,7,2023-01-02 05:16:00,Poor,Average,Good
7861,Northeast,4,2023-01-06 11:00:00,Average,Good,Good
2686,Northeast,2,2023-01-02 20:45:00,Average,Good,Good
2661,Midwest,7,2023-01-02 20:20:00,Good,Good,Good
9931,West,6,2023-01-07 21:30:00,Good,Good,Average
9519,South,1,2023-01-07 14:38:00,Good,Poor,Average
1259,Northeast,4,2023-01-01 20:58:00,Good,Good,Good
6479,South,5,2023-01-05 11:58:00,Good,Poor,Good
1994,Northeast,4,2023-01-02 09:13:00,Good,Good,Good
2043,South,2,2023-01-02 10:02:00,Average,Good,Good
5219,Northeast,5,2023-01-04 14:58:00,Average,Average,Average
6815,Midwest,4,2023-01-05 17:34:00,Average,Good,Good
9145,South,5,2023-01-07 08:24:00,Poor,Good,Good
2506,Northeast,4,2023-01-02 17:45:00,Average,Good,Average
4509,South,4,2023-01-04 03:08:00,Good,Good,Good
9294,South,3,2023-01-07 10:53:00,Average,Average,Good
4233,Midwest,2,2023-01-03 22:32:00,Average,Good,Average
4097,Northeast,5,2023-01-03 20:16:00,Good,Good,Average
3509,West,6,2023-01-03 10:28:00,Average,Average,Good
8365,South,4,2023-01-06 19:24:00,Average,Average,Good
2167,South,5,2023-01-02 12:06:00,Good,Average,Average
2536,West,2,2023-01-02 18:15:00,Good,Good,Good
7289,West,8,2023-01-06 01:28:00,Poor,Good,Good
3826,Northeast,5,2023-01-03 15:45:00,Good,Average,Good
4083,South,1,2023-01-03 20:02:00,Average,Good,Average
8101,West,8,2023-01-06 15:00:00,Good,Good,Average
347,South,3,2023-01-01 05:46:00,Average,Poor,Good
1940,Northeast,3,2023-01-02 08:19:00,Average,Good,Average
9785,South,4,2023-01-07 19:04:00,Average,Good,Good
9190,West,3,2023-01-07 09:09:00,Good,Average,Average
1092,South,3,2023-01-01 18:11:00,Good,Average,Good
4697,South,3,2023-01-04 06:16:00,Average,Average,Good
679,West,3,2023-01-01 11:18:00,Average,Good,Good
2473,West,11,2023-01-02 17:12:00,Good,Average,Average
7028,West,7,2023-01-05 21:07:00,Good,Average,Good
8536,Midwest,7,2023-01-06 22:15:00,Average,Good,Good
9601,Northeast,4,2023-01-07 16:00:00,Good,Good,Average
4111,South,5,2023-01-03 20:30:00,Average,Good,Average
4843,Midwest,3,2023-01-04 08:42:00,Average,Good,Good
3020,West,7,2023-01-03 02:19:00,Good,Good,Average
822,Northeast,8,2023-01-01 13:41:00,Average,Good,Average
5939,Northeast,5,2023-01-05 02:58:00,Good,Good,Average
7332,West,6,2023-01-06 02:11:00,Good,Good,Average
3301,Midwest,6,2023-01-03 07:00:00,Poor,Good,Good
4444,Midwest,1,2023-01-04 02:03:00,Average,Good,Average
4403,Northeast,8,2023-01-04 01:22:00,Average,Average,Good
5639,Northeast,6,2023-01-04 21:58:00,Good,Poor,Good
193,West,9,2023-01-01 03:12:00,Good,Good,Good
9432,Northeast,3,2023-01-07 13:11:00,Average,Average,Average
9141,Midwest,7,2023-01-07 08:20:00,Average,Poor,Average
7906,West,2,2023-01-06 11:45:00,Average,Good,Average
3966,West,6,2023-01-03 18:05:00,Good,Poor,Poor
4204,West,6,2023-01-03 22:03:00,Good,Good,Average
8234,South,3,2023-01-06 17:13:00,Good,Good,Good
4724,Midwest,3,2023-01-04 06:43:00,Average,Good,Good
1659,Midwest,6,2023-01-02 03:38:00,Good,Average,Poor
7576,Northeast,3,2023-01-06 06:15:00,Average,Poor,Average
7903,Midwest,7,2023-01-06 11:42:00,Good,Good,Average
4077,Midwest,7,2023-01-03 19:56:00,Average,Good,Average
8232,Midwest,6,2023-01-06 17:11:00,Good,Good,Good
4530,Northeast,3,2023-01-04 03:29:00,Good,Good,Average
6175,South,8,2023-01-05 06:54:00,Good,Good,Good
7249,Northeast,4,2023-01-06 00:48:00,Average,Average,Good
4865,Midwest,6,2023-01-04 09:04:00,Average,Average,Average
2929,West,6,2023-01-03 00:48:00,Poor,Good,Average
7418,Northeast,6,2023-01-06 03:37:00,Good,Good,Poor
3185,South,4,2023-01-03 05:04:00,Average,Average,Good
4215,South,7,2023-01-03 22:14:00,Good,Average,Good
1579,South,8,2023-01-02 02:18:00,Average,Average,Average
6691,West,5,2023-01-05 15:30:00,Average,Good,Good
3669,Northeast,9,2023-01-03 13:08:00,Good,Good,Average
1569,South,0,2023-01-02 02:08:00,Good,Good,Average
3909,South,4,2023-01-03 17:08:00,Good,Good,Average
9968,Northeast,5,2023-01-07 22:07:00,Good,Average,Average
3881,South,5,2023-01-03 16:40:00,Average,Average,Average
2518,Midwest,11,2023-01-02 17:57:00,Average,Average,Good
3059,Northeast,3,2023-01-03 02:58:00,Good,Good,Good
2179,South,6,2023-01-02 12:18:00,Good,Average,Average
214,Northeast,3,2023-01-01 03:33:00,Poor,Average,Poor
5205,West,4,2023-01-04 14:44:00,Good,Poor,Good
5010,Midwest,3,2023-01-04 11:29:00,Average,Average,Good
7175,Northeast,4,2023-01-05 23:34:00,Average,Good,Average
9736,South,4,2023-01-07 18:15:00,Average,Good,Average
9313,South,7,2023-01-07 11:12:00,Good,Average,Poor
4669,South,3,2023-01-04 05:48:00,Average,Average,Average
1289,Northeast,4,2023-01-01 21:28:00,Average,Good,Poor
773,Northeast,6,2023-01-01 12:52:00,Good,Good,Average
5456,Northeast,5,2023-01-04 18:55:00,Good,Average,Poor
6580,South,4,2023-01-05 13:39:00,Average,Good,Good
3055,South,6,2023-01-03 02:54:00,Good,Average,Poor
4131,Midwest,15,2023-01-03 20:50:00,Average,Average,Good
3367,Midwest,9,2023-01-03 08:06:00,Average,Good,Good
7943,West,5,2023-01-06 12:22:00,Good,Average,Average
8149,Midwest,7,2023-01-06 15:48:00,Average,Average,Average
1355,Midwest,10,2023-01-01 22:34:00,Good,Good,Good
2223,Northeast,6,2023-01-02 13:02:00,Poor,Good,Good
9507,Northeast,3,2023-01-07 14:26:00,Good,Good,Average
1293,South,4,2023-01-01 21:32:00,Good,Average,Good
7463,West,5,2023-01-06 04:22:00,Poor,Good,Good
8823,Northeast,3,2023-01-07 03:02:00,Good,Average,Good
2870,Midwest,1,2023-01-02 23:49:00,Average,Average,Good
6692,Northeast,4,2023-01-05 15:31:00,Average,Good,Average
5264,Northeast,5,2023-01-04 15:43:00,Good,Poor,Average
6177,South,8,2023-01-05 06:56:00,Average,Good,Good
9009,Midwest,6,2023-01-07 06:08:00,Average,Average,Good
2303,South,6,2023-01-02 14:22:00,Good,Good,Average
5153,West,2,2023-01-04 13:52:00,Good,Good,Average
929,South,9,2023-01-01 15:28:00,Good,Average,Average
4196,Northeast,2,2023-01-03 21:55:00,Average,Good,Good
3469,West,4,2023-01-03 09:48:00,Good,Average,Good
9788,Northeast,5,2023-01-07 19:07:00,Good,Average,Average
4664,West,2,2023-01-04 05:43:00,Good,Average,Average
5514,South,4,2023-01-04 19:53:00,Good,Poor,Poor
2565,Midwest,8,2023-01-02 18:44:00,Good,Average,Good
4681,Midwest,9,2023-01-04 06:00:00,Average,Good,Average
6032,Midwest,4,2023-01-05 04:31:00,Good,Good,Average
2580,South,4,2023-01-02 18:59:00,Good,Good,Poor
4841,West,4,2023-01-04 08:40:00,Good,Average,Poor
7426,Midwest,7,2023-01-06 03:45:00,Good,Good,Average
6525,Northeast,10,2023-01-05 12:44:00,Good,Average,Poor
7224,Midwest,10,2023-01-06 00:23:00,Good,Good,Good
2941,Midwest,5,2023-01-03 01:00:00,Good,Average,Average
1713,West,2,2023-01-02 04:32:00,Good,Good,Average
8851,West,7,2023-01-07 03:30:00,Good,Good,Average
3783,Northeast,5,2023-01-03 15:02:00,Good,Average,Good
8931,Midwest,3,2023-01-07 04:50:00,Average,Good,Average
3585,Midwest,5,2023-01-03 11:44:00,Poor,Good,Good
4856,Northeast,3,2023-01-04 08:55:00,Good,Average,Average
3375,West,6,2023-01-03 08:14:00,Average,Average,Average
5097,West,2,2023-01-04 12:56:00,Average,Good,Good
4779,Northeast,4,2023-01-04 07:38:00,Good,Good,Average
9020,South,11,2023-01-07 06:19:00,Average,Good,Good
6852,West,6,2023-01-05 18:11:00,Average,Average,Average
734,South,10,2023-01-01 12:13:00,Average,Good,Good
2957,South,6,2023-01-03 01:16:00,Good,Good,Average
1109,South,10,2023-01-01 18:28:00,Good,Good,Poor
4462,South,7,2023-01-04 02:21:00,Poor,Average,Average
5249,Midwest,9,2023-01-04 15:28:00,Good,Good,Average
4497,Midwest,2,2023-01-04 02:56:00,Average,Poor,Average
6294,Midwest,6,2023-01-05 08:53:00,Poor,Good,Average
6487,West,2,2023-01-05 12:06:00,Good,Good,Good
1318,South,5,2023-01-01 21:57:00,Average,Poor,Average
7293,Northeast,5,2023-01-06 01:32:00,Good,Average,Good
9813,Midwest,4,2023-01-07 19:32:00,Average,Average,Average
468,West,5,2023-01-01 07:47:00,Good,Average,Good
3474,South,4,2023-01-03 09:53:00,Good,Average,Good
7044,Northeast,8,2023-01-05 21:23:00,Average,Good,Average
7283,Northeast,6,2023-01-06 01:22:00,Good,Good,Good
3280,West,2,2023-01-03 06:39:00,Good,Good,Poor
570,Midwest,2,2023-01-01 09:29:00,Good,Good,Good
1176,South,1,2023-01-01 19:35:00,Good,Good,Good
2458,South,5,2023-01-02 16:57:00,Average,Poor,Poor
4114,Northeast,6,2023-01-03 20:33:00,Average,Average,Good
9221,Northeast,6,2023-01-07 09:40:00,Average,Average,Good
5958,Midwest,3,2023-01-05 03:17:00,Good,Good,Good
1400,South,5,2023-01-01 23:19:00,Good,Good,Good
8559,West,7,2023-01-06 22:38:00,Average,Average,Good
1316,South,6,2023-01-01 21:55:00,Good,Good,Average
8136,Northeast,2,2023-01-06 15:35:00,Good,Good,Average
9961,South,10,2023-01-07 22:00:00,Average,Good,Average
3323,West,3,2023-01-03 07:22:00,Good,Average,Good
1786,West,7,2023-01-02 05:45:00,Good,Average,Poor
3389,Northeast,5,2023-01-03 08:28:00,Good,Poor,Good
8596,South,7,2023-01-06 23:15:00,Good,Poor,Good
4611,Midwest,4,2023-01-04 04:50:00,Good,Average,Average
4802,Northeast,6,2023-01-04 08:01:00,Good,Good,Good
142,Midwest,6,2023-01-01 02:21:00,Good,Good,Good
7662,South,9,2023-01-06 07:41:00,Poor,Good,Good
7052,South,3,2023-01-05 21:31:00,Good,Average,Good
4110,South,7,2023-01-03 20:29:00,Good,Good,Poor
4428,Northeast,5,2023-01-04 01:47:00,Good,Good,Good
1380,South,7,2023-01-01 22:59:00,Good,Average,Average
5994,Midwest,2,2023-01-05 03:53:00,Average,Average,Good
9683,Midwest,5,2023-01-07 17:22:00,Average,Poor,Average
6496,Northeast,3,2023-01-05 12:15:00,Poor,Average,Good
6517,West,5,2023-01-05 12:36:00,Average,Good,Good
4118,Midwest,6,2023-01-03 20:37:00,Good,Good,Average
9945,Midwest,5,2023-01-07 21:44:00,Average,Poor,Average
8492,Northeast,4,2023-01-06 21:31:00,Good,Average,Average
8965,South,5,2023-01-07 05:24:00,Average,Good,Average
1625,Northeast,3,2023-01-02 03:04:00,Good,Good,Good
3733,Midwest,5,2023-01-03 14:12:00,Average,Average,Good
6486,Midwest,6,2023-01-05 12:05:00,Average,Average,Good
5734,South,6,2023-01-04 23:33:00,Good,Average,Average
2047,Northeast,8,2023-01-02 10:06:00,Poor,Average,Average
5955,Northeast,5,2023-01-05 03:14:00,Average,Good,Good
2877,Midwest,7,2023-01-02 23:56:00,Good,Average,Average
9293,South,7,2023-01-07 10:52:00,Average,Poor,Average
4418,Northeast,5,2023-01-04 01:37:00,Good,Average,Poor
5710,West,7,2023-01-04 23:09:00,Average,Average,Good
4524,South,5,2023-01-04 03:23:00,Poor,Poor,Good
1899,Midwest,5,2023-01-02 07:38:00,Average,Good,Average
9629,Northeast,2,2023-01-07 16:28:00,Average,Average,Average
737,Midwest,1,2023-01-01 12:16:00,Poor,Average,Good
9682,Northeast,4,2023-01-07 17:21:00,Good,Average,Good
3243,South,7,2023-01-03 06:02:00,Good,Good,Good
8263,West,4,2023-01-06 17:42:00,Average,Good,Poor
5807,Midwest,8,2023-01-05 00:46:00,Average,Good,Average
6844,Northeast,8,2023-01-05 18:03:00,Good,Good,Good
9018,West,4,2023-01-07 06:17:00,Average,Good,Good
1917,West,2,2023-01-02 07:56:00,Poor,Good,Good
2622,West,6,2023-01-02 19:41:00,Good,Good,Average
6631,Midwest,5,2023-01-05 14:30:00,Good,Average,Good
9936,Northeast,2,2023-01-07 21:35:00,Average,Good,Average
2077,Northeast,7,2023-01-02 10:36:00,Average,Good,Poor
7247,South,7,2023-01-06 00:46:00,Good,Average,Good
2801,West,5,2023-01-02 22:40:00,Good,Poor,Poor
7031,South,2,2023-01-05 21:10:00,Good,Good,Good
1026,Midwest,4,2023-01-01 17:05:00,Average,Poor,Good
4307,Midwest,2,2023-01-03 23:46:00,Good,Average,Good
6000,Northeast,4,2023-01-05 03:59:00,Poor,Average,Good
515,Northeast,5,2023-01-01 08:34:00,Good,Good,Average
6830,Midwest,3,2023-01-05 17:49:00,Average,Poor,Average
3806,West,6,2023-01-03 15:25:00,Good,Poor,Good
2691,South,4,2023-01-02 20:50:00,Good,Good,Average
5034,South,7,2023-01-04 11:53:00,Average,Average,Poor
9876,Northeast,10,2023-01-07 20:35:00,Good,Good,Average
4896,Northeast,5,2023-01-04 09:35:00,Average,Poor,Good
3120,Northeast,6,2023-01-03 03:59:00,Good,Average,Good
9489,Northeast,5,2023-01-07 14:08:00,Good,Average,Average
8889,Midwest,7,2023-01-07 04:08:00,Poor,Good,Good
6419,West,7,2023-01-05 10:58:00,Good,Good,Good
3508,Midwest,5,2023-01-03 10:27:00,Good,Average,Average
1959,South,6,2023-01-02 08:38:00,Average,Good,Good
5789,West,5,2023-01-05 00:28:00,Good,Good,Good
3951,Northeast,4,2023-01-03 17:50:00,Good,Good,Good
9329,Midwest,8,2023-01-07 11:28:00,Good,Good,Average
2713,Midwest,2,2023-01-02 21:12:00,Good,Average,Good
2628,South,3,2023-01-02 19:47:00,Good,Average,Good
584,Midwest,5,2023-01-01 09:43:00,Good,Good,Good
4286,South,7,2023-01-03 23:25:00,Good,Good,Average
5096,Midwest,5,2023-01-04 12:55:00,Good,Poor,Average
7130,West,3,2023-01-05 22:49:00,Good,Good,Good
4184,Midwest,6,2023-01-03 21:43:00,Good,Good,Average
7413,Midwest,7,2023-01-06 03:32:00,Good,Average,Average
7543,South,7,2023-01-06 05:42:00,Average,Average,Average
2738,South,4,2023-01-02 21:37:00,Good,Good,Good
2115,South,9,2023-01-02 11:14:00,Average,Average,Good
5222,Midwest,1,2023-01-04 15:01:00,Average,Average,Good
856,Northeast,4,2023-01-01 14:15:00,Poor,Poor,Average
6846,Northeast,4,2023-01-05 18:05:00,Good,Average,Good
2064,Midwest,4,2023-01-02 10:23:00,Poor,Average,Poor
4004,Northeast,7,2023-01-03 18:43:00,Average,Good,Average
9277,Midwest,6,2023-01-07 10:36:00,Average,Average,Good
3980,Midwest,4,2023-01-03 18:19:00,Poor,Average,Average
24,Midwest,7,2023-01-01 00:23:00,Average,Good,Good
9174,Northeast,3,2023-01-07 08:53:00,Average,Good,Average
2680,South,5,2023-01-02 20:39:00,Good,Average,Average
1568,Northeast,4,2023-01-02 02:07:00,Average,Average,Good
6025,Northeast,4,2023-01-05 04:24:00,Good,Good,Poor
8630,South,5,2023-01-06 23:49:00,Average,Good,Good
6943,South,1,2023-01-05 19:42:00,Average,Good,Average
5909,Northeast,8,2023-01-05 02:28:00,Poor,Good,Average
8158,Midwest,5,2023-01-06 15:57:00,Good,Good,Good
8414,Midwest,7,2023-01-06 20:13:00,Good,Average,Good
5338,South,5,2023-01-04 16:57:00,Average,Average,Average
4303,West,6,2023-01-03 23:42:00,Good,Average,Poor
1528,Midwest,4,2023-01-02 01:27:00,Average,Good,Good
5584,South,5,2023-01-04 21:03:00,Good,Good,Good
2830,Northeast,2,2023-01-02 23:09:00,Average,Average,Average
6571,South,6,2023-01-05 13:30:00,Average,Good,Good
6641,West,4,2023-01-05 14:40:00,Good,Average,Good
5316,Midwest,5,2023-01-04 16:35:00,Average,Good,Good
1817,Midwest,11,2023-01-02 06:16:00,Average,Average,Poor
2635,South,3,2023-01-02 19:54:00,Average,Average,Good
8455,West,6,2023-01-06 20:54:00,Good,Average,Good
5211,West,5,2023-01-04 14:50:00,Good,Average,Average
4680,South,10,2023-01-04 05:59:00,Poor,Good,Average
8292,South,5,2023-01-06 18:11:00,Average,Poor,Good
8342,South,8,2023-01-06 19:01:00,Good,Good,Good
3787,South,2,2023-01-03 15:06:00,Good,Average,Average
9856,Midwest,3,2023-01-07 20:15:00,Good,Good,Good
3788,Midwest,5,2023-01-03 15:07:00,Average,Good,Good
8446,South,5,2023-01-06 20:45:00,Average,Average,Average
2718,West,5,2023-01-02 21:17:00,Good,Poor,Good
1354,South,3,2023-01-01 22:33:00,Average,Good,Good
4453,West,6,2023-01-04 02:12:00,Good,Average,Average
9332,West,5,2023-01-07 11:31:00,Good,Average,Average
5968,Northeast,3,2023-01-05 03:27:00,Average,Good,Good
2886,West,3,2023-01-03 00:05:00,Good,Average,Good
5811,Northeast,4,2023-01-05 00:50:00,Good,Good,Good
5905,Northeast,9,2023-01-05 02:24:00,Good,Good,Good
9806,West,3,2023-01-07 19:25:00,Good,Poor,Good
4964,South,7,2023-01-04 10:43:00,Good,Good,Good
3629,West,11,2023-01-03 12:28:00,Good,Good,Good
4914,Northeast,3,2023-01-04 09:53:00,Average,Good,Good
561,South,6,2023-01-01 09:20:00,Average,Average,Average
8735,Midwest,5,2023-01-07 01:34:00,Good,Good,Good
3279,Midwest,3,2023-01-03 06:38:00,Good,Good,Average
3519,Northeast,9,2023-01-03 10:38:00,Good,Average,Average
2464,South,6,2023-01-02 17:03:00,Good,Good,Average
6237,South,7,2023-01-05 07:56:00,Poor,Good,Good
1261,Midwest,4,2023-01-01 21:00:00,Good,Good,Average
8449,Northeast,5,2023-01-06 20:48:00,Average,Good,Poor
3480,Midwest,7,2023-01-03 09:59:00,Good,Good,Good
9309,Northeast,2,2023-01-07 11:08:00,Good,Good,Average
6838,South,3,2023-01-05 17:57:00,Average,Good,Average
4154,Midwest,5,2023-01-03 21:13:00,Good,Good,Good
6047,Northeast,5,2023-01-05 04:46:00,Good,Good,Good
6093,Midwest,4,2023-01-05 05:32:00,Average,Average,Good
8932,Northeast,6,2023-01-07 04:51:00,Poor,Good,Good
276,South,4,2023-01-01 04:35:00,Good,Average,Poor
2107,West,4,2023-01-02 11:06:00,Good,Good,Good
8563,South,4,2023-01-06 22:42:00,Good,Good,Good
2271,Northeast,8,2023-01-02 13:50:00,Average,Good,Average
6117,South,6,2023-01-05 05:56:00,Good,Average,Good
3463,South,2,2023-01-03 09:42:00,Poor,Good,Good
4262,West,6,2023-01-03 23:01:00,Good,Average,Good
842,South,5,2023-01-01 14:01:00,Good,Good,Good
7526,South,3,2023-01-06 05:25:00,Good,Average,Good
3137,South,2,2023-01-03 04:16:00,Good,Average,Good
1233,Northeast,7,2023-01-01 20:32:00,Average,Poor,Average
3553,South,8,2023-01-03 11:12:00,Average,Average,Good
635,Northeast,5,2023-01-01 10:34:00,Good,Good,Average
9895,South,12,2023-01-07 20:54:00,Good,Good,Average
3230,Northeast,8,2023-01-03 05:49:00,Good,Good,Good
5550,Northeast,8,2023-01-04 20:29:00,Good,Good,Poor
9665,Midwest,2,2023-01-07 17:04:00,Good,Average,Good
4772,Midwest,7,2023-01-04 07:31:00,Poor,Good,Average
4330,West,5,2023-01-04 00:09:00,Average,Average,Average
2242,Northeast,3,2023-01-02 13:21:00,Good,Good,Good
8381,South,9,2023-01-06 19:40:00,Average,Good,Average
7691,Northeast,7,2023-01-06 08:10:00,Average,Average,Average
6978,West,2,2023-01-05 20:17:00,Good,Good,Average
2897,South,5,2023-01-03 00:16:00,Good,Average,Good
7189,South,6,2023-01-05 23:48:00,Average,Average,Good
400,West,7,2023-01-01 06:39:00,Good,Average,Average
3561,Midwest,6,2023-01-03 11:20:00,Good,Average,Good
1715,Northeast,9,2023-01-02 04:34:00,Average,Good,Average
4382,Northeast,5,2023-01-04 01:01:00,Average,Average,Average
5455,South,5,2023-01-04 18:54:00,Good,Average,Good
6940,Midwest,3,2023-01-05 19:39:00,Average,Good,Good
6727,Midwest,3,2023-01-05 16:06:00,Good,Average,Good
421,West,0,2023-01-01 07:00:00,Good,Average,Average
9609,Northeast,5,2023-01-07 16:08:00,Poor,Poor,Average
5722,Midwest,8,2023-01-04 23:21:00,Average,Good,Good
