Trip_Type,Destination_Climate,Trip_Duration,Gender,Planned_Activity,Travel_Type,Accommodation_Type,Essential_Item_Categories
Adventure,Hot,5,Female,Sightseeing,Train,Airbnb,"Clothes, Toiletries"
Business,Hot,17,Female,Skiing,Bus,Airbnb,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Rainy,16,Male,Sightseeing,Flight,Airbnb,"Clothes, Gadgets"
Adventure,Cold,17,Female,Shopping,Train,Hotel,"Outdoor Gear, Clothes"
Business,Hot,15,Female,Hiking,Bus,Tent,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Rainy,19,Female,Sightseeing,Train,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Rainy,1,Other,Shopping,Car,Airbnb,"Clothes, Gadgets"
Adventure,Hot,3,Female,Swimming,Car,Hostel,"Clothes, Toiletries"
Adventure,Rainy,14,Other,Meetings,Car,Airbnb,"Documents, Clothes, Gadgets"
Adventure,Rainy,5,Female,Shopping,Bus,Airbnb,"Clothes, Gadgets"
Adventure,Hot,6,Other,Sightseeing,Car,Hostel,"Clothes, Toiletries"
Business,Rainy,14,Other,Sightseeing,Car,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Cold,17,Male,Hiking,Flight,Tent,"Outdoor Gear, Clothes"
Adventure,Rainy,18,Female,Shopping,Bus,Airbnb,"Clothes, Gadgets"
Vacation,Rainy,8,Male,Swimming,Flight,Airbnb,"Toiletries, Clothes, Gadgets"
Vacation,Rainy,3,Other,Skiing,Bus,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Hot,10,Male,Hiking,Bus,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Hot,19,Other,Meetings,Bus,Airbnb,"Documents, Clothes, Toiletries"
Business,Hot,17,Male,Swimming,Train,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Business,Hot,15,Other,Sightseeing,Train,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Cold,3,Female,Skiing,Bus,Tent,"Outdoor Gear, Clothes"
Vacation,Rainy,3,Other,Shopping,Train,Airbnb,"Clothes, Gadgets"
Adventure,Hot,17,Male,Sightseeing,Bus,Airbnb,"Clothes, Toiletries"
Vacation,Rainy,6,Female,Sightseeing,Car,Hotel,"Clothes, Gadgets"
Adventure,Cold,2,Other,Hiking,Train,Hotel,"Outdoor Gear, Clothes"
Vacation,Rainy,2,Other,Hiking,Flight,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Vacation,Rainy,15,Other,Swimming,Flight,Tent,"Toiletries, Clothes, Gadgets"
Adventure,Hot,18,Other,Shopping,Flight,Tent,"Clothes, Toiletries"
Business,Rainy,7,Other,Shopping,Flight,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Rainy,2,Male,Meetings,Flight,Hostel,"Documents, Clothes, Gadgets"
Vacation,Cold,1,Other,Shopping,Bus,Airbnb,"Outdoor Gear, Clothes"
Business,Hot,9,Female,Hiking,Train,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Hot,8,Female,Meetings,Flight,Hotel,"Documents, Clothes, Toiletries"
Vacation,Rainy,8,Male,Meetings,Bus,Tent,"Documents, Clothes, Gadgets"
Adventure,Rainy,7,Male,Sightseeing,Train,Airbnb,"Clothes, Gadgets"
Adventure,Rainy,10,Other,Shopping,Flight,Hostel,"Clothes, Gadgets"
Business,Rainy,14,Other,Meetings,Flight,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Business,Cold,5,Female,Shopping,Flight,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Cold,19,Male,Skiing,Flight,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Cold,15,Female,Sightseeing,Bus,Airbnb,"Outdoor Gear, Clothes"
Adventure,Rainy,18,Male,Hiking,Train,Hotel,"Outdoor Gear, Clothes, Gadgets"
Business,Cold,4,Female,Shopping,Bus,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Cold,15,Female,Sightseeing,Bus,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,2,Male,Hiking,Flight,Airbnb,"Outdoor Gear, Clothes"
Vacation,Hot,17,Other,Sightseeing,Train,Hotel,"Clothes, Toiletries"
Adventure,Cold,12,Other,Skiing,Flight,Airbnb,"Outdoor Gear, Clothes"
Vacation,Cold,14,Female,Sightseeing,Train,Airbnb,"Outdoor Gear, Clothes"
Adventure,Hot,5,Female,Swimming,Train,Airbnb,"Clothes, Toiletries"
Business,Hot,2,Male,Shopping,Train,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Rainy,11,Male,Hiking,Train,Hostel,"Outdoor Gear, Clothes, Gadgets"
Vacation,Rainy,17,Female,Skiing,Flight,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Business,Hot,13,Male,Meetings,Car,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Business,Hot,11,Female,Shopping,Bus,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Rainy,11,Other,Shopping,Bus,Airbnb,"Clothes, Gadgets"
Adventure,Hot,11,Female,Skiing,Train,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Hot,5,Other,Sightseeing,Bus,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Cold,18,Male,Sightseeing,Flight,Airbnb,"Outdoor Gear, Clothes"
Adventure,Cold,14,Male,Meetings,Flight,Tent,"Documents, Outdoor Gear, Clothes"
Vacation,Hot,4,Male,Sightseeing,Car,Tent,"Clothes, Toiletries"
Vacation,Hot,17,Female,Hiking,Train,Hostel,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,21,Male,Hiking,Train,Hostel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Business,Hot,11,Other,Meetings,Flight,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Rainy,18,Other,Sightseeing,Flight,Hostel,"Clothes, Gadgets"
Vacation,Rainy,13,Male,Hiking,Train,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Vacation,Rainy,12,Male,Shopping,Bus,Hotel,"Clothes, Gadgets"
Vacation,Hot,6,Other,Sightseeing,Car,Airbnb,"Clothes, Toiletries"
Business,Rainy,1,Other,Sightseeing,Train,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,4,Female,Sightseeing,Train,Tent,"Clothes, Toiletries"
Vacation,Cold,20,Other,Hiking,Flight,Airbnb,"Outdoor Gear, Clothes"
Adventure,Cold,10,Male,Sightseeing,Bus,Airbnb,"Outdoor Gear, Clothes"
Business,Rainy,10,Male,Sightseeing,Flight,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Cold,12,Female,Swimming,Flight,Hotel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,7,Other,Skiing,Flight,Hotel,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,8,Female,Swimming,Flight,Airbnb,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Cold,20,Other,Skiing,Bus,Hotel,"Outdoor Gear, Clothes"
Vacation,Cold,17,Male,Skiing,Train,Hotel,"Outdoor Gear, Clothes"
Vacation,Cold,10,Other,Sightseeing,Car,Airbnb,"Outdoor Gear, Clothes"
Vacation,Rainy,11,Female,Skiing,Car,Hostel,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,2,Male,Meetings,Train,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Hot,2,Male,Meetings,Train,Tent,"Documents, Clothes, Toiletries"
Business,Hot,11,Male,Sightseeing,Bus,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Rainy,8,Female,Swimming,Flight,Hostel,"Toiletries, Clothes, Gadgets"
Adventure,Hot,17,Other,Hiking,Train,Hostel,"Outdoor Gear, Clothes, Toiletries"
Business,Hot,13,Other,Shopping,Bus,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Cold,15,Male,Sightseeing,Flight,Hostel,"Outdoor Gear, Clothes"
Adventure,Cold,1,Male,Shopping,Train,Tent,"Outdoor Gear, Clothes"
Business,Hot,1,Other,Sightseeing,Flight,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Cold,3,Female,Skiing,Bus,Tent,"Outdoor Gear, Clothes"
Vacation,Hot,21,Other,Shopping,Car,Hotel,"Clothes, Toiletries"
Vacation,Hot,15,Male,Meetings,Car,Airbnb,"Documents, Clothes, Toiletries"
Vacation,Rainy,18,Male,Shopping,Train,Tent,"Clothes, Gadgets"
Business,Cold,21,Other,Skiing,Train,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Rainy,13,Female,Swimming,Bus,Tent,"Toiletries, Clothes, Gadgets"
Business,Cold,9,Female,Hiking,Train,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,5,Female,Sightseeing,Car,Hostel,"Outdoor Gear, Clothes"
Vacation,Cold,14,Male,Sightseeing,Car,Airbnb,"Outdoor Gear, Clothes"
Business,Rainy,20,Other,Meetings,Bus,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Hot,6,Other,Shopping,Flight,Airbnb,"Clothes, Toiletries"
Adventure,Cold,7,Female,Meetings,Train,Airbnb,"Documents, Outdoor Gear, Clothes"
Vacation,Hot,21,Female,Sightseeing,Flight,Hostel,"Clothes, Toiletries"
Adventure,Cold,7,Female,Skiing,Flight,Hotel,"Outdoor Gear, Clothes"
Adventure,Cold,20,Male,Sightseeing,Bus,Tent,"Outdoor Gear, Clothes"
Business,Rainy,18,Female,Swimming,Car,Airbnb,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Rainy,3,Male,Shopping,Car,Hotel,"Clothes, Gadgets"
Vacation,Rainy,5,Female,Skiing,Train,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Adventure,Cold,1,Female,Swimming,Flight,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,17,Female,Sightseeing,Bus,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Cold,13,Other,Sightseeing,Car,Airbnb,"Outdoor Gear, Clothes"
Business,Hot,17,Other,Swimming,Bus,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Business,Cold,11,Female,Meetings,Flight,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Rainy,2,Female,Shopping,Car,Tent,"Clothes, Gadgets"
Adventure,Hot,5,Male,Skiing,Bus,Tent,"Outdoor Gear, Clothes, Toiletries"
Vacation,Cold,7,Female,Hiking,Bus,Airbnb,"Outdoor Gear, Clothes"
Adventure,Cold,11,Other,Shopping,Train,Hostel,"Outdoor Gear, Clothes"
Business,Rainy,9,Other,Sightseeing,Flight,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Hot,5,Male,Hiking,Car,Tent,"Outdoor Gear, Clothes, Toiletries"
Vacation,Cold,17,Other,Swimming,Car,Hostel,"Outdoor Gear, Clothes, Toiletries"
Business,Hot,8,Female,Hiking,Bus,Airbnb,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Hot,4,Other,Sightseeing,Bus,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Business,Cold,5,Male,Hiking,Bus,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Rainy,1,Other,Swimming,Train,Hotel,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Business,Cold,2,Other,Sightseeing,Bus,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Cold,16,Other,Hiking,Bus,Airbnb,"Outdoor Gear, Clothes"
Business,Cold,15,Male,Hiking,Flight,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,10,Male,Shopping,Flight,Tent,"Clothes, Toiletries"
Vacation,Cold,7,Female,Meetings,Train,Hotel,"Documents, Outdoor Gear, Clothes"
Business,Hot,9,Male,Meetings,Car,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Cold,13,Male,Shopping,Bus,Hostel,"Outdoor Gear, Clothes"
Vacation,Rainy,4,Other,Shopping,Train,Hostel,"Clothes, Gadgets"
Vacation,Cold,17,Female,Skiing,Bus,Airbnb,"Outdoor Gear, Clothes"
Adventure,Rainy,6,Male,Swimming,Car,Airbnb,"Toiletries, Clothes, Gadgets"
Business,Cold,6,Other,Shopping,Flight,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,13,Male,Skiing,Car,Hotel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Hot,13,Male,Hiking,Bus,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Cold,13,Male,Meetings,Bus,Tent,"Documents, Outdoor Gear, Clothes"
Business,Cold,1,Female,Shopping,Bus,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,1,Male,Hiking,Train,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,18,Male,Skiing,Flight,Airbnb,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Vacation,Hot,13,Other,Swimming,Train,Hotel,"Clothes, Toiletries"
Business,Rainy,1,Male,Sightseeing,Train,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Rainy,5,Other,Meetings,Car,Hostel,"Documents, Clothes, Gadgets"
Adventure,Rainy,21,Male,Shopping,Flight,Tent,"Clothes, Gadgets"
Business,Rainy,19,Other,Swimming,Flight,Hostel,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Rainy,8,Other,Skiing,Train,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,14,Female,Meetings,Bus,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Business,Hot,3,Male,Shopping,Train,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Hot,3,Other,Sightseeing,Bus,Hotel,"Clothes, Toiletries"
Vacation,Hot,3,Male,Meetings,Car,Airbnb,"Documents, Clothes, Toiletries"
Vacation,Rainy,2,Female,Meetings,Bus,Airbnb,"Documents, Clothes, Gadgets"
Adventure,Hot,20,Other,Meetings,Car,Airbnb,"Documents, Clothes, Toiletries"
Business,Cold,17,Other,Shopping,Car,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Hot,21,Male,Meetings,Car,Hostel,"Documents, Clothes, Toiletries"
Adventure,Cold,17,Female,Hiking,Flight,Airbnb,"Outdoor Gear, Clothes"
Adventure,Hot,19,Female,Swimming,Car,Tent,"Clothes, Toiletries"
Vacation,Hot,17,Other,Sightseeing,Car,Hotel,"Clothes, Toiletries"
Adventure,Hot,4,Male,Hiking,Car,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Hot,17,Other,Swimming,Car,Airbnb,"Clothes, Toiletries"
Vacation,Rainy,19,Female,Hiking,Train,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,3,Female,Hiking,Flight,Hostel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Business,Hot,4,Female,Meetings,Flight,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Hot,8,Other,Sightseeing,Flight,Hotel,"Clothes, Toiletries"
Business,Rainy,7,Female,Sightseeing,Car,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Hot,21,Male,Shopping,Flight,Hotel,"Clothes, Toiletries"
Business,Hot,13,Other,Sightseeing,Bus,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Cold,7,Male,Shopping,Train,Airbnb,"Outdoor Gear, Clothes"
Business,Cold,15,Other,Hiking,Bus,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Hot,6,Male,Meetings,Train,Tent,"Documents, Clothes, Toiletries"
Business,Hot,6,Male,Hiking,Train,Airbnb,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Hot,12,Female,Shopping,Bus,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Business,Rainy,11,Other,Hiking,Car,Tent,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Hot,9,Female,Sightseeing,Bus,Hostel,"Clothes, Toiletries"
Business,Cold,9,Male,Meetings,Bus,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,3,Female,Skiing,Bus,Hostel,"Outdoor Gear, Clothes"
Vacation,Cold,11,Other,Meetings,Flight,Hotel,"Documents, Outdoor Gear, Clothes"
Adventure,Rainy,15,Female,Swimming,Bus,Hotel,"Toiletries, Clothes, Gadgets"
Vacation,Rainy,21,Male,Hiking,Bus,Hotel,"Outdoor Gear, Clothes, Gadgets"
Adventure,Hot,20,Other,Shopping,Bus,Hotel,"Clothes, Toiletries"
Adventure,Cold,15,Male,Sightseeing,Flight,Hostel,"Outdoor Gear, Clothes"
Vacation,Cold,8,Other,Meetings,Flight,Hotel,"Documents, Outdoor Gear, Clothes"
Vacation,Cold,8,Female,Swimming,Flight,Hostel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,13,Female,Sightseeing,Car,Hostel,"Clothes, Toiletries"
Business,Cold,20,Male,Shopping,Bus,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Rainy,7,Other,Sightseeing,Train,Hostel,"Clothes, Gadgets"
Business,Rainy,10,Other,Swimming,Flight,Airbnb,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,5,Male,Hiking,Train,Tent,"Outdoor Gear, Clothes"
Business,Cold,15,Female,Meetings,Train,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,18,Other,Swimming,Train,Hostel,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,15,Other,Sightseeing,Flight,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Cold,14,Male,Shopping,Flight,Tent,"Outdoor Gear, Clothes"
Adventure,Hot,21,Male,Meetings,Car,Tent,"Documents, Clothes, Toiletries"
Adventure,Cold,4,Other,Swimming,Car,Tent,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,4,Female,Meetings,Car,Airbnb,"Documents, Clothes, Gadgets"
Vacation,Hot,4,Female,Shopping,Car,Hotel,"Clothes, Toiletries"
Business,Cold,2,Female,Sightseeing,Car,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,1,Other,Skiing,Bus,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,8,Female,Meetings,Bus,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,15,Other,Sightseeing,Train,Hostel,"Clothes, Toiletries"
Business,Rainy,14,Female,Sightseeing,Flight,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,2,Male,Skiing,Train,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,7,Other,Hiking,Flight,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Rainy,10,Male,Shopping,Train,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,2,Male,Hiking,Bus,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Vacation,Hot,1,Female,Meetings,Bus,Tent,"Documents, Clothes, Toiletries"
Vacation,Rainy,12,Male,Swimming,Flight,Tent,"Toiletries, Clothes, Gadgets"
Business,Cold,5,Other,Shopping,Flight,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Cold,14,Male,Hiking,Bus,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,10,Female,Hiking,Flight,Tent,"Outdoor Gear, Clothes"
Business,Hot,2,Other,Sightseeing,Bus,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Cold,7,Other,Meetings,Train,Airbnb,"Documents, Outdoor Gear, Clothes"
Vacation,Cold,4,Female,Hiking,Bus,Tent,"Outdoor Gear, Clothes"
Business,Rainy,15,Other,Sightseeing,Bus,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Cold,2,Other,Sightseeing,Flight,Tent,"Outdoor Gear, Clothes"
Business,Rainy,16,Male,Hiking,Bus,Airbnb,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Cold,14,Male,Swimming,Car,Tent,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,10,Other,Meetings,Flight,Hostel,"Documents, Clothes, Toiletries"
Adventure,Rainy,17,Other,Meetings,Flight,Airbnb,"Documents, Clothes, Gadgets"
Adventure,Hot,17,Female,Sightseeing,Bus,Hostel,"Clothes, Toiletries"
Adventure,Rainy,20,Male,Shopping,Train,Hotel,"Clothes, Gadgets"
Adventure,Hot,1,Female,Sightseeing,Flight,Hotel,"Clothes, Toiletries"
Vacation,Hot,6,Other,Meetings,Train,Hotel,"Documents, Clothes, Toiletries"
Business,Hot,16,Female,Sightseeing,Car,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Hot,9,Other,Meetings,Train,Tent,"Documents, Clothes, Toiletries"
Adventure,Rainy,2,Other,Shopping,Train,Airbnb,"Clothes, Gadgets"
Vacation,Cold,20,Female,Hiking,Train,Tent,"Outdoor Gear, Clothes"
Adventure,Cold,18,Other,Meetings,Bus,Airbnb,"Documents, Outdoor Gear, Clothes"
Vacation,Hot,8,Other,Hiking,Train,Tent,"Outdoor Gear, Clothes, Toiletries"
Adventure,Cold,8,Other,Shopping,Flight,Hostel,"Outdoor Gear, Clothes"
Business,Hot,5,Female,Hiking,Car,Tent,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Rainy,6,Other,Sightseeing,Car,Hostel,"Clothes, Gadgets"
Vacation,Cold,1,Other,Shopping,Car,Hotel,"Outdoor Gear, Clothes"
Business,Rainy,9,Other,Sightseeing,Bus,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Business,Cold,1,Male,Swimming,Car,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,5,Other,Swimming,Car,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Hot,18,Female,Shopping,Bus,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Cold,4,Male,Meetings,Train,Tent,"Documents, Outdoor Gear, Clothes"
Adventure,Cold,16,Male,Sightseeing,Car,Hostel,"Outdoor Gear, Clothes"
Vacation,Cold,2,Male,Sightseeing,Flight,Hostel,"Outdoor Gear, Clothes"
Adventure,Rainy,19,Female,Hiking,Train,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Adventure,Hot,16,Other,Sightseeing,Train,Tent,"Clothes, Toiletries"
Adventure,Rainy,7,Other,Meetings,Car,Airbnb,"Documents, Clothes, Gadgets"
Vacation,Rainy,18,Other,Meetings,Flight,Tent,"Documents, Clothes, Gadgets"
Vacation,Hot,11,Female,Meetings,Bus,Tent,"Documents, Clothes, Toiletries"
Adventure,Rainy,17,Male,Swimming,Flight,Hotel,"Toiletries, Clothes, Gadgets"
Business,Rainy,8,Other,Sightseeing,Flight,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Business,Cold,4,Female,Sightseeing,Flight,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Hot,5,Other,Meetings,Flight,Airbnb,"Documents, Clothes, Toiletries"
Adventure,Rainy,8,Male,Sightseeing,Car,Airbnb,"Clothes, Gadgets"
Adventure,Rainy,13,Female,Swimming,Flight,Tent,"Toiletries, Clothes, Gadgets"
Business,Rainy,10,Other,Swimming,Bus,Tent,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Business,Cold,3,Female,Meetings,Car,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
